ID,Text,Etiqueta
264,eso es manipular la realidad,Violento
265,"no te importa mi mundo, y a mí sí me importa el tuyo",Violento
266,deberías ir al psicólogo,Violento
267,tú lo que necesitas es amor,Violento
268,¿cómo aguantaste tanto?,Violento
269,Si yo todo lo que hago es porque te quiero,Violento
270,No sirves para nada,Violento
271,Eres una exagerada,Violento
272,A ver qué haces tú cuando quedas con tu ex,Violento
273,Y tú que harías sin mí,Violento
274,Y a tí quien te va a querer si no soy yo,Violento
275,Si algún día me dejas seguro que terminarás con un moro,Violento
276,Eres una histérica,Violento
277,"Yo no soy violento, eres tú que sacas lo peor de mí",Violento
278,"Si me dejas, te vas a quedar sola, solo te van a querer para follar.",Violento
279,Nadie te va a querer como yo,Violento
280,"Si me quisieras, no hablarías con gente que no me gusta",Violento
281,Mi ansiedad es por tu culpa,Violento
282,¿No quieres hacerlo?Eso es que ya no me quieres,Violento
283,"Mira que te gusta provocar, eh",Violento
284,¿Vas a ir así?,Violento
285,Siendo así nadie te va a querer,Violento
286,Qué exagerada,Violento
287,Calladita más bonita,Violento
288,Eres una basura,Violento
289,pero,Violento
290,No vas a encontrar a nadie que te quiera como yo,Violento
291,"Has cambiado mucho desde que te conocí, ahora eres una egoísta",Violento
292,Todo está en tu cabeza,Violento
293,"ES MENTIRA, NO SOY UN CONTROLADOR",Violento
294,Por qué haces todo esto? Estás en una lucha que no es tuya,Violento
295,"Me creas ansiedad, en serio",Violento
296,Tendrás que quitarme la culpa tú a mí,Violento
297,O eres muy impoluta o una solemne gilipollas,Violento
298,O eres muy impoluta o una solemne gilipollas,Violento
299,Esque no me quieres,Violento
300,No me haces feliz,Violento
301,Necesito hacerlo ahora,Violento
302,Tienes que pensar más en mi y en mis necesidades,Violento
303,Pues si no quieres será mejor que te vayas de mi casa,Violento
304,Sería increíble que te suicidaras por mí,Violento
305,Siempre tienes que joderlo todo,Violento
306,No haces nada bien,Violento
307,Eres una perra que hace lo que yo le diga,Violento
308,Deberías conformarte con que te quiera ver,Violento
309,Si no lo haces como yo digo es porque no me quieres,Violento
310,Sabes como sacar lo peor de mi,Violento
311,Eres un desastre total.No sirves absolutamente para nada,Violento
312,"Mala madre, mala esposa, mala hija,mala nuera",Violento
313,te quiero pero,Violento
314,te amo pero,Violento
315,pero,Violento
316,perdon pero,Violento
317,Chúpamela aunque sea,Violento
318,"Estás loca, deberías ir al psiquiatra si no eres feliz conmigo",Violento
319,"Nunca te apetece follar, ¿ya no me quieres?",Violento
320,¿Dónde vas tan arreglada?,Violento
321,"Mucho hablas con tu jefe, no sé yo que harás en la oficina",Violento
322,"No me gusta que subas fotos de tu cara, ni en bikini",Violento
323,"Es que yo he cambiado, y tú no",Violento
324,No sé por qué te molesta,Violento
325,"Quién va a querer nada contigo, con esa cara?",Violento
326,te voy a quitar a todo ser querido que tengas ,Violento
327,me has arruinado la vida,Violento
328,te odio,Violento
329,te aborrezco,Violento
330,no te respeto,Violento
331,no vale snada para mi,Violento
332,eres una basca,Violento
333,eres una porqueria,Violento
334,eres una mierda,Violento
335,bastardo asqueroso ,Violento
336,maldita te amatare,Violento
337,a ti y a toda tu familia,Violento
338,te voy a violar,Violento
339,voy a alejarte de tu familia,Violento
340,dile adios a todos,Violento
341,no tienes amigos,Violento
342,no tienes amigas,Violento
343,me das lastima,Violento
344,te odio mucho,Violento
345,eres lo peor,Violento
346,eres la peor,Violento
347,te voy a demandar,Violento
348,no puedes ganarme ,Violento
349,yo soy mejor que todos,Violento
350,soy mejor que nadie,Violento
351,tienes suerte de estar conmigo,Violento
352,dame tu contraseña,Violento
353,dame tu cuenta,Violento
354,deja de ahbalar,Violento
355,Callate,Violento
356,callate ya,Violento
357,callado te ves mejor mi amor,Violento
358,deja de ladrar perro,Violento
359,dejame en paz perra,Violento
360,odio mi vida desde que te conoci,Violento
361,odio a todos y en especia a ti,Violento
362,como me cansas mi amor,Violento
363,ya no queiro vivir contigo,Violento
364,ya no te amo,Violento
365,ya no te quiero,Violento
366,si no me comer te dejare de quere,Violento
367,complaceme,Violento
368,te lo ordeno yo,Violento
369,con eso basta para aburrirme,Violento
370,deja de hablarme porfavor,Violento
371,te odio,Violento
372,te amo pero te odio demaciado,Violento
373,te amo pero ya no te aguanto ,Violento
374,mandame una foto o terminamos,Violento
375,mandame una foto o terminamos,Violento
376,Siempre tienes que joderlo todo,Violento
377,tu amigo lo tinee mas grande,Violento
378,Sali con tu amiga,Violento
379,ya no te quiero para nada,Violento
380,no me sirves para nada,Violento
381,te odio como nunca ya ni piedo en ti,Violento
382,no te respeto eres la peor persona del mundo,Violento
383,te odio demasiado,Violento
384,ya me tienes arta,Violento
385,ya no puedo contigo mas,Violento
386,terminamos por tu culpa,Violento
387,te engale con tu mejor amigo,Violento
388,te engañe con,Violento
389,te manipule para que hagas lo que yo quiera,Violento
390,te odio,Violento
391,dame todo o no te amare,Violento
392,te necesito controlar,Violento
393,te odio mucho maldita rata,Violento
394,maldita rata,Violento
395,como quieres que te ame si eres una puta,Violento
396,Sali contigo por lastima,Violento
397,nunca te ame,Violento
398,te hable por lastima,Violento
399,estoy contigo por suerte,Violento
400,te odio,Violento
401,me cogí a tu amigo y me gustó,Violento
402,cierra la puta boca,Violento
403,solo quiero cogerte y ya,Violento
404,porque no me dejas por tu amiguito,Violento
405,no voy a salir contigo así vestida,Violento
406,estoy cansada de tus celos,Violento
407,con esa ropa pareces prostituta,Violento
408,si me dejas no encontrarás a nadie que le gustes,Violento
409,soy tu novia por pena,Violento
410,me hubiera ido con tu amigo,Violento
411,porque te elegi a ti si eres una basura,Violento
412,porque  te elegi a ti si eres horrible,Violento
413,porque  te elegi a ti si eres feo,Violento
414,porque  te elegi a ti si eres negro,Violento
415,porque  te elegi a ti si eres fea,Violento
416,porque  te elegi a ti si eres asquerosa,Violento
417,no te hubiera conocido,Violento
418,eres espantoso,Violento
419,monstruo porque eres tan feo,Violento
420,porque eres tan fea,Violento
421,porque eres tan feo,Violento
422,porque no te mueres,Violento
423,porque no desapareses y ya,Violento
424,tienes que chuparmela mientras te grabo,Violento
425,te voy a grabar si no no hacemos nada,Violento
426,te dejaras hacerte lo que yo quiera y te gustara,Violento
427,eres un perdedor sin mi,Violento
428,eres una perdedora sin mi,Violento
429,eres una tremenda puta,Violento
430,es tu culpa que me den ataques de ansiedad maldita perra,Violento
431,si quieres que te compre el teclado para tu ordenador tienes que chuparmela mientras te grabo,Violento
432,ni pienses en dejarme porque habrá consecuencias,Violento
433,si me dejas publicaré los vídeos donde te estoy cogiendo,Violento
434,siempre haces todo mal,Violento
435,pene pequeño ,Violento
436,micro miembro,Violento
437,me da lastima tu cosita,Violento
438,gorda,Violento
439,baja de peso gorda,Violento
440,te odio gorda,Violento
441,asquerosa gorda,Violento
442,puta gorda,Violento
443,con ese cuerpo quein te querra gorda,Violento
444,maldita puta,Violento
445,cara de la verga,Violento
446,estúpido,Violento
447,idiota,Violento
448,inutil,Violento
449,pendejo,Violento
450,mama verga,Violento
451,chucha tu madre,Violento
452,coño de la madre,Violento
453,hijo de re mil putas,Violento
454,gil,Violento
455,tonto,Violento
456,das asco,Violento
457,la concha de tu madre,Violento
458,la concha de la lora,Violento
459,putito,Violento
460,mama huevo,Violento
461,ya no puedo contigo puta,Violento
462,maldita perra,Violento
463,como te atreves a hacer eso sin mi permiso,Violento
464,no te di permiso,Violento
465,no te di permiso puta,Violento
466,no te quiero en mi vida ,Violento
467,perra te odio,Violento
468,maldita perra,Violento
469,maldicion como haces que ya no te ame,Violento
470,estas haciendo que deje de quererte,Violento
471,me odias verdad,Violento
472,ya no me quieres ,Violento
473,ya no me amas,Violento
474,ya no quieres etar conmigo,Violento
475,eres una basurilla,Violento
476,eres una perrita asquerosa,Violento
477,no te amo mas,Violento
478,no estoy sintiendo anda por ti,Violento
479,estoy aburrido de ti,Violento
480,me aburro en la relacion,Violento
481,quiero ams de ti,Violento
482,necesito mas de ti,Violento
483,dame todo de ti,Violento
484,me aburro cuando estoy contigo,Violento
485,me aburres mucho ,Violento
486,me aburro cuando estas y cuando no estas estoy bien,Violento
487,eres aburrida,Violento
488,te odio,Violento
489,no me gusta como te ves,Violento
490,arreglate mejor ,Violento
491,acuerdate de mi cuando no este,Violento
492,necesito tu ayuda con todo,Violento
493,cuando me mate ya reiras,Violento
494,cuando me mate te sentiras feliz ,Violento
495,me voy a matar,Violento
496,te voy a cortar,Violento
497,te voy a terminar si haces eso,Violento
498,te voy a terminar porque ya no puedo contigo,Violento
499,eres la peor persona del mundo,Violento
500,te quiero,No violento
501,eres muy lindo,No violento
502,te amo,No violento
503,me gustas,No violento
504,me encantas,No violento
505,muak,No violento
506,te mando besitos,No violento
507,quiero abrazarte,No violento
508,quiero besarte,No violento
509,quieres salir conmigo?,No violento
510,puedo ser tu novia?,No violento
511,eres atractivo,No violento
512,que romantico eres,No violento
513,pareces un osito,No violento
514,voy a mandarte flores,No violento
515,mi corazón es tuyo,No violento
516,pienso todo el día en ti,No violento
517,cuando te veo sonrio,No violento
518,cuando pienso en ti sonrio,No violento
519,tu eres lo ultimo que pienso antes de dormir,No violento
520,cuando despierto pienso en ti,No violento
521,cuando despierto imagino que estas a mi lado,No violento
522,me haces feliz,No violento
523,me haces bien,No violento
524,haces que me sienta comoda,No violento
525,haces que me ame a mi misma,No violento
526,me gusta mucho tu sonrisa,No violento
527,me gusta escucharte reír,No violento
528,me gusta ponerte nervioso,No violento
529,me gusta que me pongas nerviosa,No violento
530,quiero cuidarte,No violento
531,quiero protegerte,No violento
532,soy feliz contigo,No violento
533,cuando estoy contigo parece que se detiene el tiempo,No violento
534,eres muy tierno,No violento
535,te quiero tontito,No violento
536,te amo tontito,No violento
537,te amo tanto tontito,No violento
538,te quiero tontita,No violento
539,te adoro bb,No violento
540,mi bomboncito de chocolate,No violento
541,hola,No violento
542,como estas,No violento
543,como estas amor,No violento
544,como te sientes,No violento
545,que haces,No violento
546,como vas con al tarea,No violento
547,como estas bb,No violento
548,bb,No violento
549,bombon,No violento
550,bellota,No violento
551,princesa,No violento
552,principe,No violento
553,mi rey,No violento
554,mi amor,No violento
555,mi bebe,No violento
556,mi bb,No violento
557,mi amorcito ,No violento
558,te amo,No violento
559,te como,No violento
560,eres el amor d emi vida coraozn,No violento
561,corazon,No violento
562,muack,No violento
563,besitos,No violento
564,estoy saliendo del trabajo,No violento
565,te amo corazon,No violento
566,Pero no ma jajaja si lo hiciste completo,No violento
567,Va me avisas entonces,No violento
568,mandas el domingo o el lunes por muy tarde ?,No violento
569,Me gusta que dibujes corazones en las fotos que te mando,No violento
570,O yo te las mando a ti uwu,No violento
571,Te como corazón,No violento
572,Muak muak muak,No violento
573,Me encantas mi amor hermoso,No violento
574,Tendría que ser un viernes,No violento
575,No puedo miamor,No violento
576,Pues ven y abrazame,No violento
577,Quiere flores,No violento
578,Te como papi,No violento
579,Te amo mi amorcito te amo bonita,No violento
580,Me encantas,No violento
581,Me dormí como con 9%,No violento
582,Que bonito mi amor,No violento
583,No me di cuenta de que se había colgado,No violento
584,Mira me.pusieton de foto de perfil,No violento
585,No pasa nada amor mío,No violento
586,Cuando te vea te voy a comer,No violento
587,Jajaja Lokito miamor,No violento
588,Hola amor,No violento
589,Y luego me lave los dientes,No violento
590,Descansa papi,No violento
591,Voy a cocinar,No violento
592,Siempre te escucho,No violento
593,Pues si,No violento
594,De verdad te estaba esperando,No violento
595,Tardé mucho,No violento
596,Perdón mi vida,No violento
597,Eres lo mejor de mi vida miamor,No violento
598,Sueño bonito,No violento
599,Wenas noches,No violento
600,Te amo miamor,No violento
601,Estuve esperando para decirte buenas noches para que duermas,No violento
602,Tengo que cocinar,No violento
603,Tengo que irme,No violento
604,Era para alguien más?,No violento
605,Princesa si me dices,No violento
606,Hasta me enseñó vídeos tuyos,No violento
607,Me siento como Nando y los cerdos,No violento
608,Deja termino algo rápido,No violento
609,Son mis sueños,No violento
610,Ya termine tarea,No violento
611,Espérame,No violento
612,Y me dolió el corazón,No violento
613,Porque sueñas eso mi amor,No violento
614,Que cosa mi amor,No violento
615,Cada día estoy más enamorada de ti,No violento
616,Que soñaste cariño mio,No violento
617,Pero compensa cuando me tratas muy bonito,No violento
618,O cuando me dices bombón o corazón,No violento
619,porque tas desperta bb,No violento
620,Aunque yo no quiero ser grosera,No violento
621,Te amo más miamor,No violento
622,Te amo mucho,No violento
623,Pobrecito papi,No violento
624,Llámame por Whatsapp mi vida hrrmosa,No violento
625,Llámame por Whatsapp mi vida hermosa,No violento
626,Estoy en el server de la gris,No violento
627,Porque no estoy contigo,No violento
628,No pasa nada miamor,No violento
629,Porque así saludo,No violento
630,Obvio llora,No violento
631,Estaba limpiando la cocina,No violento
632,Haz tarea amor,No violento
633,Cómo que solo si quiero,No violento
634,Gracias mi amor,No violento
635,No pasa nada corazón,No violento
636,Yo te amo mucho más miamor,No violento
637,Voy a lavar platos,No violento
638,Gracias por las fotos mi amor,No violento
639,Mira que buenos tips,No violento
640,Salió reconectando,No violento
641,Y este video de verdad me encantó,No violento
642,eres todo eso y más miamor,No violento
643,Ya me iré a dormir perdon,No violento
644,Por lo que te envie,No violento
645,Aunque yo no me maquillo,No violento
646,Hola mi amor,No violento
647,me estoy durmiendo,No violento
648,Me gusta tu carita hermosa,No violento
649,Porke me gusta mucho,No violento
650,porque me gusta mucho,No violento
651,Porque lo vio muchas veces,No violento
652,Esto es de ayer creo que no te lo mandé corazón,No violento
653,Mi mano,No violento
654,Te amo más mi amor hermoso,No violento
655,Ya toy acostado nos dormimos,No violento
656,Y ácabo de matar dos pulgas que tenía mi perro,No violento
657,Porque me apagó la computadora,No violento
658,Este hijo de puta era el que me estaba picando,No violento
659,tu quieres hacer algo tengo tiempo,No violento
660,Fue por estudiar,No violento
661,Voy a pasear a mi perro,No violento
662,ya entiendo tu adicción,No violento
663,Porke estaba cansada,No violento
664,Estaba muy cansada,No violento
665,Ves ese niño me entiende,No violento
666,Esto me pasa a veces miamor,No violento
667,Pontela bien,No violento
668,Ya te conozco bien amor,No violento
669,De que iba a estar ocupada,No violento
670,Cuidate mucho,No violento
671,Me gusta hablar contigo,No violento
672,Provecho,No violento
673,Y luego se orina,No violento
674,Si la voy a llevar,No violento
675,Tengo que darle de comer a mi hermano,No violento
676,Es muy miedosa,No violento
677,Pues cuídala mucho,No violento
